,age,avg_order_value,total_orders,last_purchase,is_fraudulent,email_open_rate,loyalty_score,churn_risk,customer_tenure_days,preferred_category_Electronics,preferred_category_Fashion,preferred_category_Home,preferred_category_Sports,country_Brazil,country_Canada,country_China,country_France,country_Germany,country_India,country_Japan,country_UK,country_USA,gender_Male,gender_Other
0,30,101.08,8,176,1,25.6,50,0.2,388,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,53,90.39,10,88,0,12.3,37,0.34,495,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,73,83.28,6,203,0,50.95,65,0.05,438,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,30,109.9,9,346,1,42.9,93,0.19,1816,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4,29,269.38,16,342,0,5.3,79,0.15,80,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5,54,114.31,11,210,0,56.5,44,0.21,1365,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
6,27,34.03,7,212,0,0.2,60,0.39,1287,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,77,171.25,9,20,0,15.1,29,0.24,1600,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,73,116.79,10,87,0,14.7,85,0.37,1760,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,26,55.93,4,12,0,68.8,63,0.52,489,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
10,69,128.78,7,119,0,48.6,76,0.11,265,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11,24,88.23,14,177,0,83.6,26,0.12,419,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,19,77.24,12,128,0,26.5,45,0.63,1461,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
13,71,91.39,8,50,0,21.1,95,0.34,1079,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
14,73,131.23,7,41,0,80.3,35,0.61,403,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
15,77,95.89,9,317,0,44.4,78,0.23,1524,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,40,107.03,11,94,0,27.4,7,0.27,1326,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
17,56,123.34,8,241,0,41.8,67,0.13,247,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,57,87.13,8,355,0,42.5,53,0.33,579,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
19,56,58.03,11,60,0,57.2,41,0.2,972,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
20,38,32.99,11,348,0,3.8,4,0.15,156,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
21,40,191.86,8,227,0,24.8,2,0.31,363,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
22,46,127.42,8,276,0,46.7,35,0.1,1685,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,31,186.72,7,17,0,54.2,33,0.08,1498,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
24,43,105.48,15,243,0,15.9,50,0.38,1783,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25,68,220.27,1,310,0,19.4,13,0.25,864,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
26,22,137.27,6,323,0,72.8,7,0.43,1529,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
27,72,64.45,12,46,0,78.6,39,0.37,575,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
28,48,55.0,11,309,0,7.5,91,0.44,525,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
29,42,61.94,8,17,0,99.0,49,0.41,1379,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
30,48,93.19,8,200,0,43.3,3,0.27,912,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
31,67,109.18,11,252,0,58.6,17,0.31,1407,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
32,37,75.98,6,191,0,59.4,25,0.22,1634,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,61,46.66,7,48,0,34.6,94,0.34,554,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
34,72,106.23,13,93,0,54.5,14,0.25,627,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
35,34,112.56,13,236,0,58.3,93,0.28,1365,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
